102	Q0	103	12	988000.0	burhanai_task2_rag
102	Q0	198	13	987000.0	burhanai_task2_rag
103	Q0	808	4	996000.0	burhanai_task2_rag
105	Q0	199	4	996000.0	burhanai_task2_rag
116	Q0	1210	5	995000.0	burhanai_task2_rag
118	Q0	2186	1	999000.0	burhanai_task2_rag
118	Q0	2187	2	998000.0	burhanai_task2_rag
118	Q0	2188	3	997000.0	burhanai_task2_rag
118	Q0	1556	4	996000.0	burhanai_task2_rag
118	Q0	2185	5	995000.0	burhanai_task2_rag
119	Q0	1603	4	996000.0	burhanai_task2_rag
121	Q0	2175	1	999000.0	burhanai_task2_rag
123	Q0	1886	4	996000.0	burhanai_task2_rag
124	Q0	656	2	998000.0	burhanai_task2_rag
124	Q0	213	3	997000.0	burhanai_task2_rag
124	Q0	1897	4	996000.0	burhanai_task2_rag
125	Q0	1710	1	999000.0	burhanai_task2_rag
125	Q0	1364	2	998000.0	burhanai_task2_rag
127	Q0	1603	4	996000.0	burhanai_task2_rag
133	Q0	1602	3	997000.0	burhanai_task2_rag
133	Q0	229	4	996000.0	burhanai_task2_rag
133	Q0	1601	5	995000.0	burhanai_task2_rag
136	Q0	1173	3	997000.0	burhanai_task2_rag
136	Q0	1876	4	996000.0	burhanai_task2_rag
136	Q0	1856	5	995000.0	burhanai_task2_rag
136	Q0	1745	6	994000.0	burhanai_task2_rag
136	Q0	194	7	993000.0	burhanai_task2_rag
136	Q0	193	8	992000.0	burhanai_task2_rag
136	Q0	1167	9	991000.0	burhanai_task2_rag
138	Q0	1750	3	997000.0	burhanai_task2_rag
139	Q0	1355	4	996000.0	burhanai_task2_rag
139	Q0	1314	5	995000.0	burhanai_task2_rag
139	Q0	94	6	994000.0	burhanai_task2_rag
140	Q0	2194	7	993000.0	burhanai_task2_rag
140	Q0	1315	8	992000.0	burhanai_task2_rag
140	Q0	2191	9	991000.0	burhanai_task2_rag
140	Q0	1225	10	990000.0	burhanai_task2_rag
149	Q0	2245	13	987000.0	burhanai_task2_rag
149	Q0	1362	14	986000.0	burhanai_task2_rag
149	Q0	1732	15	985000.0	burhanai_task2_rag
151	Q0	261	3	997000.0	burhanai_task2_rag
151	Q0	626	4	996000.0	burhanai_task2_rag
151	Q0	120	5	995000.0	burhanai_task2_rag
151	Q0	260	6	994000.0	burhanai_task2_rag
153	Q0	33	2	998000.0	burhanai_task2_rag
153	Q0	984	3	997000.0	burhanai_task2_rag
153	Q0	981	4	996000.0	burhanai_task2_rag
153	Q0	980	5	995000.0	burhanai_task2_rag
153	Q0	982	6	994000.0	burhanai_task2_rag
153	Q0	983	7	993000.0	burhanai_task2_rag
