A-Q1	37	75	Hadith
A-Q2	180	311	Ayah
A-Q2	571	599	Hadith
A-Q2	705	720	Hadith
A-Q2	834	860	Hadith
A-Q2	1004	1075	Ayah
A-Q2	1521	1553	Ayah
A-Q2	1894	1937	Ayah
A-Q2	2077	2092	Ayah
A-Q2	2779	2794	Ayah
A-Q2	3530	3558	Hadith
A-Q2	3665	3680	Hadith
A-Q2	3792	3818	Hadith
A-Q2	3957	3972	Hadith
A-Q3	105	267	Ayah
A-Q3	319	421	Ayah
A-Q3	523	599	Hadith
A-Q4	93	193	Ayah
A-Q4	242	327	Hadith
A-Q5	408	475	Ayah
A-Q5	629	681	Ayah
A-Q5	900	956	Ayah
A-Q6	141	329	Ayah
A-Q6	378	457	Ayah
A-Q6	516	714	Hadith
A-Q7	487	494	Ayah
A-Q8	156	283	Ayah
A-Q8	297	574	Ayah
A-Q8	667	863	Hadith
A-Q8	968	1037	Hadith
A-Q8	1114	1279	Hadith
A-Q8	1382	1451	Hadith
A-Q8	1520	1589	Hadith
A-Q8	1654	1723	Hadith
A-Q8	1792	1811	Hadith
A-Q9	126	326	Ayah
A-Q9	343	485	Ayah
A-Q9	515	552	Ayah
A-Q9	583	680	Ayah
A-Q9	715	933	Ayah
A-Q9	968	1075	Ayah
A-Q9	1109	1201	Ayah
A-Q9	1235	1327	Ayah
A-Q9	1361	1453	Ayah
A-Q9	1487	1579	Ayah
A-Q9	1613	1705	Ayah
A-Q9	1739	1802	Ayah
A-Q10	251	404	Ayah
A-Q10	579	705	Ayah
A-Q10	962	1074	Hadith
A-Q10	1144	1198	Hadith
A-Q11	33	278	Ayah
A-Q11	329	503	Hadith
A-Q11	562	736	Hadith
A-Q11	789	963	Hadith
A-Q11	1016	1190	Hadith
A-Q11	1243	1417	Hadith
A-Q11	1470	1644	Hadith
A-Q11	1697	1871	Hadith
A-Q11	1924	2098	Hadith
A-Q11	2151	2325	Hadith
A-Q11	2378	2552	Hadith
A-Q11	2605	2779	Hadith
A-Q11	2832	2896	Hadith
A-Q12	115	257	Ayah
A-Q12	374	393	Hadith
A-Q12	427	454	Hadith
A-Q12	584	603	Hadith
A-Q12	746	798	Ayah
A-Q12	836	925	Ayah
A-Q12	1078	1184	Ayah
A-Q12	1322	1429	Ayah
A-Q12	1594	1676	Ayah
A-Q12	1820	1995	Ayah
A-Q12	2151	2236	Ayah
A-Q12	2391	2473	Ayah
A-Q12	2630	2685	Ayah
A-Q12	2829	2915	Ayah
A-Q12	3065	3120	Ayah
A-Q13	219	340	Ayah
A-Q13	388	424	Ayah
A-Q13	483	569	Hadith
A-Q14	204	332	Ayah
A-Q14	1697	3768	Hadith
A-Q14	3821	3841	Ayah
A-Q14	3909	3920	Ayah
A-Q14	4453	4461	Ayah
A-Q15	0	0	No_Spans
A-Q16	24	163	Ayah
A-Q16	214	300	Hadith
A-Q17	2052	2096	Ayah
A-Q17	2285	2319	Hadith
A-Q17	2489	2546	Hadith
A-Q17	2733	2875	Hadith
A-Q17	3068	3102	Hadith
A-Q17	3272	3414	Hadith
A-Q17	3607	3749	Hadith
A-Q18	0	0	No_Spans
A-Q19	164	221	Ayah
A-Q19	364	514	Ayah
A-Q19	629	671	Ayah
A-Q19	844	887	Hadith
A-Q19	1040	1200	Hadith
A-Q21	349	377	Ayah
A-Q22	279	956	Ayah
A-Q23	127	216	Hadith
A-Q24	0	0	No_Spans
A-Q25	89	94	Ayah
A-Q25	144	149	Ayah
A-Q25	198	203	Ayah
A-Q25	252	257	Ayah
A-Q25	306	311	Ayah
A-Q25	369	374	Ayah
A-Q25	477	593	Hadith
A-Q25	671	838	Hadith
A-Q25	916	1083	Hadith
A-Q26	0	0	No_Spans
A-Q27	0	0	No_Spans
A-Q28	0	0	No_Spans
A-Q29	0	0	No_Spans
A-Q30	199	308	Ayah
A-Q30	414	598	Hadith
A-Q30	617	662	Hadith
A-Q30	671	737	Hadith
A-Q30	756	994	Hadith
A-Q30	1067	1132	Hadith
A-Q30	1336	1412	Hadith
A-Q30	1566	1838	Ayah
A-Q30	1841	1937	Ayah
A-Q30	2223	2272	Hadith
A-Q30	2342	2391	Hadith
A-Q30	2834	2944	Ayah
A-Q30	3477	3661	Hadith
A-Q30	3707	4003	Hadith
A-Q30	4024	4133	Ayah
A-Q30	4136	4297	Ayah
A-Q30	4300	4396	Ayah
A-Q30	4407	4645	Hadith
A-Q30	4821	4841	Ayah
A-Q30	5006	5160	Ayah
A-Q30	5847	5923	Ayah
A-Q30	6014	6027	Hadith
A-Q31	0	0	No_Spans
A-Q32	0	21	Ayah
A-Q33	70	150	Ayah
A-Q33	208	338	Hadith
A-Q33	434	455	Ayah
A-Q33	493	591	Hadith
A-Q34	167	310	Ayah
A-Q34	373	381	Ayah
A-Q34	474	487	Ayah
A-Q34	563	682	Ayah
A-Q34	745	770	Ayah
A-Q34	835	845	Ayah
A-Q34	948	1050	Hadith
A-Q34	1149	1163	Hadith
A-Q34	1225	1233	Hadith
A-Q35	160	196	Ayah
A-Q35	354	394	Ayah
A-Q35	533	574	Ayah
A-Q35	758	822	Hadith
A-Q35	970	1057	Hadith
A-Q36	133	176	Ayah
A-Q36	229	364	Ayah
A-Q36	433	519	Ayah
A-Q36	573	627	Ayah
A-Q36	695	754	Ayah
A-Q36	806	892	Ayah
A-Q36	961	1039	Ayah
A-Q36	1093	1171	Ayah
A-Q36	1261	1295	Hadith
A-Q36	1314	1348	Hadith
A-Q37	146	178	Ayah
A-Q37	209	308	Ayah
A-Q37	444	539	Hadith
A-Q37	697	792	Hadith
A-Q37	982	1029	Ayah
A-Q38	168	307	Ayah
A-Q38	534	570	Ayah
A-Q38	711	816	Ayah
A-Q38	1019	1177	Ayah
A-Q38	1477	1535	Hadith
A-Q38	1656	1701	Hadith
A-Q38	1821	1854	Hadith
A-Q39	177	292	Ayah
A-Q39	350	442	Ayah
A-Q39	499	574	Ayah
A-Q39	648	682	Ayah
A-Q39	750	859	Hadith
A-Q39	911	1290	Hadith
A-Q39	1636	1751	Ayah
A-Q39	1827	1919	Ayah
A-Q39	1977	2052	Ayah
A-Q39	2395	2510	Ayah
A-Q39	2574	2666	Ayah
A-Q39	2722	2797	Ayah
A-Q39	3034	3068	Ayah
A-Q39	3546	3655	Hadith
A-Q39	3782	4163	Hadith
A-Q40	166	706	Ayah
A-Q40	1182	1256	Ayah
A-Q40	1413	1482	Ayah
A-Q40	1871	1897	Hadith
A-Q40	1911	2453	Ayah
A-Q40	3203	3229	Hadith
A-Q40	3245	3783	Ayah
A-Q41	362	595	Ayah
A-Q41	835	994	Ayah
A-Q42	0	0	No_Spans
A-Q43	0	0	No_Spans
A-Q44	37	268	Hadith
A-Q44	275	344	Ayah
A-Q44	349	418	Ayah
A-Q44	423	492	Ayah
A-Q44	497	566	Ayah
A-Q44	572	641	Ayah
A-Q44	647	716	Ayah
A-Q44	722	791	Ayah
A-Q44	797	866	Ayah
A-Q44	872	941	Ayah
A-Q44	947	1016	Ayah
A-Q44	1022	1067	Ayah
A-Q45	24	104	Ayah
A-Q45	157	233	Hadith
A-Q46	35	51	Ayah
A-Q47	458	701	Ayah
A-Q47	941	989	Ayah
A-Q48	0	0	No_Spans
A-Q49	0	0	No_Spans
A-Q50	56	75	Ayah
